STATION_ID,STATION_NAME,AVERAGE_YEARLY_PRECIPITATION,YEAR
JNL,JUNCAL DAM,2.2199999999999998,2015
KP3,KERN PH 3,0.6518181818181819,2015
KR3,KERN R INTAKE NO. 3,0.7381818181818182,2015
OLS,KLAMATH RIVER AT ORLEANS,3.1083333333333325,2015
LGB,LAGUNA BEACH,0.7959999999999999,2015
LGT,LAGUNITAS LAKE,3.3241666666666667,2015
ARR,LAKE ARROWHEAD,0.0,2015
LPA,LAKE PALMDALE,,2015
SBN,LAKE SABRINA,0.8300000000000001,2015
LNC,LANCASTER FSS FAA,,2015
LMC,LEMON COVE,0.7724999999999999,2015
LND,LINDSAY,0.7236363636363635,2015
LDG,LODGEPOLE,2.026363636363637,2015
LCC,LOS ANGELES CIVIC CENTER,0.9366666666666666,2015
LAN,LOS ANGELES-WSO AIRPORT,0.785,2015
LSB,LOS BANOS,0.6045454545454545,2015
LYT,LYTLE CREEK R S,0.72,2015
MDR,MADERA,0.44249999999999995,2015
MRP,MARIPOSA RANGER STATION,1.0658333333333336,2015
MKV,MARKLEEVILLE,0.34,2015
MLD,MCCLOUD,3.5725,2015
MFS,MERCED,1.0414285714285714,2015
MNR,MINERAL (OBSERVER),4.725555555555556,2015
MCN,MOCCASIN,1.2133333333333336,2015
MDE,MODESTO IRRIG DISTRICT OFFICE,0.27999999999999997,2015
MTY,MONTEREY AIRPORT,,2015
HML,MOUNT HAMILTON,1.7766666666666666,2015
MSC,MOUNT SHASTA CITY,3.052499999999999,2015
WLS,MOUNT WILSON NO 2,2.473333333333333,2015
MNH,MOUNTAIN HOME,1.0999999999999999,2015
MTP,MOUNTAIN PASS,0.0,2015
NSH,NAPA FIRE DEPARTMENT,1.7266666666666672,2015
NDL,NEEDLES,0.30333333333333334,2015
NVD,NEVADA CITY,3.0933333333333333,2015
EXC,NEW EXCHEQUER-LK MCCLURE,0.7533333333333334,2015
NLD,NILAND,0.155,2015
NFR,NORTH FORK R S,1.2558333333333331,2015
OSM,OCEANSIDE MARINA,0.7875,2015
ORL,ORLAND,1.6036363636363637,2015
OXN,OXNARD,0.8500000000000001,2015
PCF,PACIFIC HOUSE (OBSERVER),2.819166666666666,2015
PMS,PALM SPRINGS,0.2325,2015
PNH,PANOCHE 2W,0.978,2015
PSC,PASCOES,,2015
PNF,PINE FLAT DAM,0.9374999999999999,2015
PCV,PLACERVILLE,2.55,2015
PLE,PLUMAS EUREKA PARK,3.2816666666666667,2015
PRT,PORTOLA,1.4491666666666667,2015
QNC,QUINCY RS (USFS),2.5766666666666667,2015
RBF,RED BLUFF,1.7612499999999998,2015
RGC,ROGERS CAMP,1.0587499999999999,2015
HEA,RUSSIAN RIVER NEAR HEALDSBURG,,2015
SCR,SACRAMENTO WB CITY,1.2425,2015
SGH,SAGEHEN CREEK,1.6736363636363643,2015
SAP,SALINAS NO2,1.9783333333333335,2015
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.9925,2015
SFF,SAN FRANCISCO WB AP,1.384166666666667,2015
SLO,SAN LUIS OBISPO POLY,1.0783333333333334,2015
ANA,SANTA ANA FIRE STA,0.7714285714285715,2015
SBR,SANTA BARBARA SANITATION,1.704,2015
CRZ,SANTA CRUZ,1.8083333333333342,2015
SRO,SANTA ROSA,3.4985714285714287,2015
SCA,SCOTIA,3.473333333333333,2015
SRR,SIERRAVILLE RS (USFS),1.6391666666666664,2015
SLP,SLY PARK,2.475,2015
SSG,SODA SPRINGS 1 E,3.470833333333333,2015
SOR,SONORA RS,1.375,2015
SEY,SOUTH ENTRANCE YOSEMITE,1.8200000000000003,2015
SLK,SOUTH LAKE,1.0799999999999998,2015
SGV,SPRINGVILLE TULE POWERPLANT,1.1072727272727272,2015
SNH,STANDISH HICKEY PARK,,2015
STK,STOCKTON FIRE STATION 4,,2015
STG,STONY GORGE RESERVOIR,1.6616666666666668,2015
STV,STRAWBERRY VALLEY,4.498333333333333,2015
SCC,SUCCESS DAM,0.35250000000000004,2015
SSN,SUSANVILLE,1.2858333333333334,2015
TAC,TAHOE CITY (NWS),2.178571428571429,2015
TRM,TERMINUS DAM,0.47583333333333333,2015
3RV,THREE RIVERS PH NO 1,1.2408333333333335,2015
TCR,TRACY CARBONA,0.8936363636363635,2015
TKE,TRUCKEE RS (OBS),1.5925,2015
29P,TWENTYNINE PALMS,0.20166666666666666,2015
UKH,UKIAH,4.2457142857142856,2015
VNT,VINTON,1.0108333333333335,2015
VSL,VISALIA,0.5509999999999999,2015
WSC,WASCO,0.4763636363636364,2015
WTW,WATSONVILLE WATER,1.6481818181818184,2015
WVR,WEAVERVILLE RS,3.894285714285715,2015
WPT,WEST POINT,2.1233333333333335,2015
WDL,WOODLAND 1 WNW,0.605,2015
YSV,YOSEMITE HEADQUARTERS,1.5458333333333332,2015
YRK,YREKA,1.4383333333333335,2015
ALT,ALTURAS RS,1.1208333333333333,2016
APU,ANGWIN PACIFIC UNION COL,3.264545454545454,2016
ASM,ASH MOUNTAIN,3.07125,2016
ATW,ATWELL CAMP,3.4375,2016
ABR,AUBERRY 2 NW,2.3091666666666666,2016
AUB,AUBURN,2.2191666666666667,2016
BFK,BAKERSFIELD AIRPORT,0.4591666666666667,2016
BFS,BARSTOW,0.3925,2016
BRM,BEAR TRAP MEADOW,3.9691666666666676,2016
BGB,BIG BAR,3.7133333333333343,2016
BBE,BIG BEAR LAKE,1.2449999999999999,2016
BGC,BIG CREEK 1,3.333333333333334,2016
BGS,BIG SUR STATE PARK,3.5999999999999996,2016
BIS,BISHOP,0.3283333333333333,2016
BYM,BLUE CANYON (DWR-2),6.431666666666666,2016
BLY,BLYTHE,0.20375000000000004,2016
BCA,BOCA,2.3025,2016
BDE,BODIE,1.3199999999999998,2016
BOW,BOWMAN,6.541666666666665,2016
BDG,BRIDGEPORT R S,1.065,2016
BCM,BRUSH CREEK (DWR-2),7.025833333333335,2016
CCH,CACHUMA LAKE,0.9541666666666666,2016
CVT,CALAVERAS BIG TREES,6.788749999999999,2016
CAL,CALLAHAN,1.9445454545454546,2016
CPD,CAMP PARDEE,2.0633333333333335,2016
CPT,CAPLES (TWIN) LAKE,4.048333333333334,2016
CDV,CEDARVILLE,1.2483333333333333,2016
CHL,CHALLENGE RANGER STATION,,2016
CVD,CHERRY VALLEY DAM,4.101666666666667,2016
CHS,CHESTER,3.438333333333334,2016
CES,CHICO UNIV FARM,1.7309090909090907,2016
CNL,CHINA LAKE ARMITAGE,0.0,2016
CLN,COALINGA,1.2566666666666666,2016
CFF,COFFEE CREEK RANGER STATION,1.395,2016
CLF,COLFAX,3.7466666666666666,2016
CTT,COTTONWOOD GATES,0.43416666666666676,2016
COV,COVELO 1 NNE,6.3149999999999995,2016
CRC,CROOKED CREEK (LONG VALLEY),0.6341666666666667,2016
CUY,CUYAMACA DAM,1.9739999999999998,2016
DVS,DAVIS 2WSW,2.224285714285714,2016
DSB,DE SABLA (PG&E),5.798333333333335,2016
DTV,DEATH VALLEY,0.23416666666666663,2016
DMS,DONNER MEM ST PARK,4.918,2016
DWV,DOWNIEVILLE,6.090833333333333,2016
DYL,DOYLE,0.9283333333333336,2016
DNM,DUNSMUIR TREATMENT PLANT,5.661666666666666,2016
EGL,EAGLE CREEK,3.7091666666666665,2016
ELC,EL CAPITAN DAM,1.2075,2016
ERY,ELLERY LAKE,1.6016666666666666,2016
ELS,ELSINORE,0.41916666666666663,2016
ENG,ENGLEBRIGHT (USACE),3.025,2016
ERK,EUREKA WOODLEY ISLAND,4.006666666666666,2016
FRF,FAIRFIELD,1.8988888888888888,2016
FMT,FAIRMONT,0.8233333333333333,2016
NIC,FEATHER RIVER NEAR NICOLAUS,1.18,2016
FDD,FIDDLETOWN,4.970000000000001,2016
FLR,FLORENCE LAKE (SCE),2.0166666666666666,2016
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),1.2954545454545452,2016
FRH,FORESTHILL R S,5.2,2016
FBW,FORT BIDWELL,1.655,2016
FJN,FORT JONES RS,1.964166666666667,2016
FRR,FORT ROSS,5.005714285714285,2016
FRO,FRESNO WB AIRPORT,1.1908333333333334,2016
GAS,GASQUET RANGER STATION,8.85,2016
GLK,GEM  LAKE,1.0599999999999998,2016
GRG,GEORGETOWN RS (USFS),7.08875,2016
GNF,GIANT FOREST (USACE),3.26,2016
GLV,GLENVILLE FS,1.7283333333333335,2016
GRO,GRANT GROVE,3.0683333333333334,2016
GSV,GRASS VALLEY,4.6375,2016
GNV,GREENVILLE RS,,2016
GVL,GROVELAND R S,4.94,2016
GHS,GROVER HOT SPRINGS,1.6518181818181823,2016
HWE,HAIWEE,0.2883333333333333,2016
HND,HANFORD REFINERY,0.6583333333333333,2016
HAP,HAPPY CAMP RS,4.017142857142857,2016
HRR,HARRISON GULCH RS,,2016
HSD,HENSHAW DAM,1.3916666666666666,2016
HTH,HETCH HETCHY,3.3133333333333326,2016
HCK,HOCKETT MEADOW (USACE),3.3316666666666666,2016
HLS,HOLLISTER,0.73375,2016
HOO,HOOPA,4.92,2016
HSS,HOSSACK,4.145833333333334,2016
IMP,IMPERIAL VALLEY,0.285,2016
IPN,INDEPENDENCE,0.3225,2016
ISB,ISABELLA DAM,1.2866666666666668,2016
JNL,JUNCAL DAM,1.0725,2016
KP3,KERN PH 3,0.9241666666666669,2016
KR3,KERN R INTAKE NO. 3,1.3649999999999998,2016
OLS,KLAMATH RIVER AT ORLEANS,4.948333333333333,2016
LGB,LAGUNA BEACH,0.752,2016
LGT,LAGUNITAS LAKE,4.074166666666666,2016
ARR,LAKE ARROWHEAD,,2016
LPA,LAKE PALMDALE,,2016
SBN,LAKE SABRINA,1.2283333333333333,2016
LNC,LANCASTER FSS FAA,,2016
LMC,LEMON COVE,1.5183333333333329,2016
LND,LINDSAY,1.221666666666667,2016
LDG,LODGEPOLE,2.919166666666667,2016
LCC,LOS ANGELES CIVIC CENTER,0.5733333333333334,2016
LAN,LOS ANGELES-WSO AIRPORT,0.605,2016
LSB,LOS BANOS,1.0958333333333334,2016
LYT,LYTLE CREEK R S,,2016
MDR,MADERA,1.0616666666666665,2016
MRP,MARIPOSA RANGER STATION,2.4708333333333337,2016
MKV,MARKLEEVILLE,,2016
MLD,MCCLOUD,3.8275,2016
MFS,MERCED,1.018181818181818,2016
MNR,MINERAL (OBSERVER),7.7875000000000005,2016
MCN,MOCCASIN,2.6091666666666664,2016
MDE,MODESTO IRRIG DISTRICT OFFICE,2.0840000000000005,2016
MTY,MONTEREY AIRPORT,,2016
HML,MOUNT HAMILTON,3.0936363636363637,2016
MSC,MOUNT SHASTA CITY,3.450833333333333,2016
WLS,MOUNT WILSON NO 2,2.0708333333333333,2016
MNH,MOUNTAIN HOME,3.4816666666666656,2016
MTP,MOUNTAIN PASS,,2016
NSH,NAPA FIRE DEPARTMENT,2.0349999999999997,2016
NDL,NEEDLES,0.25,2016
NVD,NEVADA CITY,5.229166666666667,2016
EXC,NEW EXCHEQUER-LK MCCLURE,2.1675000000000004,2016
NLD,NILAND,0.0,2016
NFR,NORTH FORK R S,3.121818181818182,2016
OSM,OCEANSIDE MARINA,0.4227272727272727,2016
ORL,ORLAND,2.2459999999999996,2016
OXN,OXNARD,0.5508333333333333,2016
PCF,PACIFIC HOUSE (OBSERVER),4.916666666666667,2016
PMS,PALM SPRINGS,0.29583333333333334,2016
PNH,PANOCHE 2W,0.945,2016
PSC,PASCOES,,2016
PNF,PINE FLAT DAM,1.955,2016
PCV,PLACERVILLE,3.641666666666667,2016
PLE,PLUMAS EUREKA PARK,5.228333333333334,2016
PRT,PORTOLA,2.185,2016
QNC,QUINCY RS (USFS),4.301666666666667,2016
RBF,RED BLUFF,3.168571428571429,2016
RGC,ROGERS CAMP,3.0758333333333336,2016
HEA,RUSSIAN RIVER NEAR HEALDSBURG,,2016
SCR,SACRAMENTO WB CITY,1.42,2016
SGH,SAGEHEN CREEK,4.856249999999999,2016
SAP,SALINAS NO2,1.55,2016
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.6816666666666666,2016
SFF,SAN FRANCISCO WB AP,1.4358333333333333,2016
SLO,SAN LUIS OBISPO POLY,1.5016666666666667,2016
ANA,SANTA ANA FIRE STA,0.43416666666666665,2016
SBR,SANTA BARBARA SANITATION,0.8516666666666665,2016
CRZ,SANTA CRUZ,2.7191666666666667,2016
SRO,SANTA ROSA,4.5128571428571425,2016
SCA,SCOTIA,4.62,2016
SRR,SIERRAVILLE RS (USFS),2.53,2016
SLP,SLY PARK,5.120833333333333,2016
SSG,SODA SPRINGS 1 E,5.6499999999999995,2016
SOR,SONORA RS,2.589166666666667,2016
SEY,SOUTH ENTRANCE YOSEMITE,3.2281818181818185,2016
SLK,SOUTH LAKE,1.503333333333333,2016
SGV,SPRINGVILLE TULE POWERPLANT,2.1808333333333327,2016
SNH,STANDISH HICKEY PARK,,2016
STK,STOCKTON FIRE STATION 4,,2016
STG,STONY GORGE RESERVOIR,1.5450000000000006,2016
STV,STRAWBERRY VALLEY,7.479166666666667,2016
SCC,SUCCESS DAM,1.488333333333333,2016
SSN,SUSANVILLE,1.245,2016
TAC,TAHOE CITY (NWS),2.6933333333333334,2016
TRM,TERMINUS DAM,1.5125,2016
3RV,THREE RIVERS PH NO 1,2.101818181818182,2016
TCR,TRACY CARBONA,0.8574999999999999,2016
TKE,TRUCKEE RS (OBS),2.556666666666667,2016
29P,TWENTYNINE PALMS,0.14416666666666667,2016
UKH,UKIAH,3.0433333333333334,2016
VNT,VINTON,1.3991666666666667,2016
VSL,VISALIA,0.8141666666666668,2016
WSC,WASCO,0.6224999999999999,2016
WTW,WATSONVILLE WATER,2.2600000000000002,2016
WVR,WEAVERVILLE RS,3.544166666666667,2016
WPT,WEST POINT,4.2908333333333335,2016
WDL,WOODLAND 1 WNW,1.26,2016
YSV,YOSEMITE HEADQUARTERS,3.233333333333333,2016
