TRACT_ID,YEAR,TOTAL_POPULATION,LAND_AREA
06037481001,2014,4145,0.405
06037481002,2014,5690,0.361
06037481101,2014,3813,0.341
06037481102,2014,3551,0.237
06037481103,2014,5033,0.546
06037481201,2014,3590,0.386
06037481202,2014,5591,0.614
06037481300,2014,3467,0.347
06037481401,2014,5811,0.466
06037481402,2014,7422,0.708
06037481500,2014,4295,0.846
06037481603,2014,3752,0.253
06037481604,2014,4050,0.240
06037481605,2014,3075,0.296
06037481606,2014,4919,0.333
06037481711,2014,4256,0.172
06037481712,2014,5209,0.284
06037481713,2014,2803,0.180
06037481714,2014,2631,0.174
06037481800,2014,2861,0.316
06037481901,2014,6197,0.708
06037481902,2014,3610,0.342
06037482001,2014,2739,1.129
06037482002,2014,6616,0.960
06037482101,2014,4908,0.444
06037482102,2014,2856,0.424
06037482201,2014,4121,0.298
06037482202,2014,4850,0.250
06037482301,2014,5344,0.337
06037482303,2014,6021,0.380
06037482304,2014,3440,0.239
06037482401,2014,4065,0.324
06037482402,2014,7305,1.289
06037482502,2014,3148,0.247
06037482503,2014,4238,0.281
06037482521,2014,5322,0.597
06037482522,2014,4539,0.633
06037482600,2014,6718,1.049
06037482701,2014,4665,0.474
06037482702,2014,2413,0.278
06037482800,2014,4553,1.222
06037500100,2014,3814,3.830
06037500201,2014,6327,2.789
06037500202,2014,4932,2.446
06037500300,2014,3329,3.424
06037500402,2014,4458,0.517
06037500403,2014,4536,0.795
06037500404,2014,5021,0.461
06037500500,2014,2900,0.280
06037500600,2014,6470,0.454
06037500700,2014,6427,1.002
06037500800,2014,5763,0.700
06037500900,2014,5393,0.547
06037501001,2014,3266,0.299
06037501002,2014,5008,0.568
06037501200,2014,5222,0.547
06037501300,2014,7254,0.773
06037501400,2014,4088,0.413
06037501501,2014,2335,2.410
06037501503,2014,4805,0.310
06037501504,2014,3623,0.288
06037501600,2014,7805,3.775
06037501700,2014,3916,0.537
06037501802,2014,3674,0.300
06037501803,2014,4654,0.229
06037501804,2014,1984,0.205
06037501900,2014,4124,0.533
06037502003,2014,3019,0.248
06037502004,2014,4030,0.515
06037502005,2014,4493,0.408
06037502100,2014,5532,0.746
06037502200,2014,6434,0.676
06037502301,2014,6324,0.618
06037502302,2014,2930,0.290
06037502401,2014,5014,0.364
06037502402,2014,3642,0.304
06037502500,2014,3916,1.431
06037502601,2014,7415,0.683
06037502602,2014,4609,0.488
06037502700,2014,6465,2.697
06037502801,2014,6857,0.849
06037502802,2014,2008,1.475
06037502901,2014,5493,0.481
06037502902,2014,4399,1.488
06037503000,2014,5791,0.513
06037503103,2014,5377,0.420
06037503104,2014,2762,0.209
06037503105,2014,3779,0.423
06037503106,2014,3422,0.358
06037503201,2014,4165,0.519
06037503202,2014,4726,0.440
06037503301,2014,2987,0.421
06037503302,2014,6200,0.597
06037503401,2014,6888,0.748
06037503402,2014,4369,0.617
06037503501,2014,6604,0.597
06037503502,2014,4137,0.480
06037503601,2014,4182,0.539
06037503602,2014,3868,1.266
06037503701,2014,5373,0.447
06037503702,2014,5067,0.666
06037503703,2014,7733,1.017
06037503801,2014,4167,0.500
06037503802,2014,4974,0.512
06037503901,2014,2821,0.354
06037503902,2014,4625,2.035
06037504001,2014,5680,0.535
06037504002,2014,5529,0.596
06037504101,2014,5459,0.471
06037504102,2014,0,2.458
06037530003,2014,3056,1.376
06037530004,2014,4092,0.502
06037530005,2014,4912,0.882
06037530006,2014,3836,0.254
06037530101,2014,5876,0.382
06037530102,2014,5091,0.512
06037530202,2014,4066,0.694
06037530203,2014,3031,0.284
06037530204,2014,3876,0.259
06037530301,2014,2349,0.225
06037530302,2014,6941,0.330
06037530400,2014,3874,0.592
06037530500,2014,4520,0.348
06037530601,2014,3944,0.221
06037530602,2014,1540,0.256
06037530700,2014,2261,0.408
06037530801,2014,5607,0.296
06037530802,2014,3472,0.218
06037530901,2014,3970,0.172
06037530902,2014,4395,0.201
06037531000,2014,5399,0.385
06037531101,2014,4452,0.269
06037531102,2014,3214,0.192
06037531201,2014,5271,0.214
06037531202,2014,4262,0.173
06037531301,2014,5661,0.307
06037531302,2014,7253,0.340
06037531502,2014,3624,0.168
06037531503,2014,3568,0.449
06037531504,2014,4703,0.194
06037531602,2014,5207,0.173
06037531603,2014,3773,0.167
06037531604,2014,3742,0.142
06037531701,2014,5434,0.246
06037531702,2014,4520,0.261
06037531800,2014,4995,0.238
06037531901,2014,6941,0.298
06037531902,2014,3851,0.273
06037532001,2014,3220,0.523
06037532002,2014,3080,0.321
06037532101,2014,6370,0.534
06037532102,2014,3853,0.388
06037532200,2014,6420,1.082
06037532302,2014,4605,1.273
06037532303,2014,4463,2.921
06037532304,2014,4675,3.164
06037532400,2014,59,4.825
06037532500,2014,3935,0.392
06037532603,2014,3222,0.254
06037532604,2014,2883,0.099
06037532605,2014,4157,0.203
06037532606,2014,4836,0.108
06037532700,2014,2971,0.298
06037532800,2014,4441,0.213
06037532900,2014,6869,0.297
06037533001,2014,3869,0.184
06037533002,2014,2619,0.187
06037533103,2014,3530,0.134
06037533104,2014,4645,0.132
06037533105,2014,2319,0.074
06037533106,2014,1714,0.116
06037533107,2014,3672,0.134
06037533201,2014,2818,0.144
06037533202,2014,2451,0.127
06037533203,2014,1726,0.149
06037533300,2014,3459,0.134
06037533401,2014,5380,0.184
06037533402,2014,4232,0.188
06037533403,2014,2991,0.183
06037533501,2014,3301,0.163
06037533502,2014,2255,0.091
06037533503,2014,2075,0.067
06037533601,2014,4471,0.211
06037533602,2014,5387,0.270
06037533603,2014,6818,0.313
06037533701,2014,3994,0.155
06037533702,2014,3593,0.125
06037533703,2014,4054,0.299
06037533803,2014,6304,0.302
06037533804,2014,4392,0.197
06037533805,2014,3835,0.167
06037533806,2014,3921,0.367
06037533901,2014,6065,0.294
06037533902,2014,4196,0.294
06037534001,2014,5325,0.303
06037534002,2014,4446,0.347
06037534101,2014,2179,0.198
06037534102,2014,6636,0.309
06037534201,2014,4581,0.197
06037534202,2014,5904,0.225
06037534203,2014,3380,0.291
06037534301,2014,4748,0.333
06037534302,2014,3886,0.149
06037534403,2014,2934,0.123
06037534404,2014,3432,0.159
06037534405,2014,3904,0.205
06037534406,2014,5169,0.150
06037534501,2014,4911,0.260
06037534502,2014,4337,0.220
06037534700,2014,4764,0.213
06037534802,2014,2790,0.156
06037534803,2014,4554,0.235
06037534804,2014,3931,0.142
06037534900,2014,6275,0.404
06037535001,2014,4464,0.174
06037535002,2014,3305,0.186
06037535101,2014,7714,0.437
06037535102,2014,4682,0.229
06037535200,2014,5874,0.334
06037535300,2014,6243,0.417
06037535400,2014,3489,0.369
06037535501,2014,4043,0.190
06037535502,2014,4814,0.183
06037535503,2014,2518,0.123
06037535603,2014,3242,0.303
06037535604,2014,4524,0.171
06037535605,2014,4444,0.181
06037535606,2014,1929,0.072
06037535607,2014,4401,0.364
06037535701,2014,6507,0.298
06037535702,2014,4510,0.377
06037535802,2014,6891,0.306
06037535803,2014,4359,0.164
06037535804,2014,5231,0.189
06037535901,2014,5620,0.324
06037535902,2014,7959,0.391
06037536000,2014,4101,0.505
06037536102,2014,3093,1.069
06037536103,2014,5547,0.456
06037536104,2014,4166,0.758
