optimizer,validation_split,lstm_units,learning_rate,batch_size,epochs,rmse
Adagrad,0.05,80.0,0.001,64.0,290.0,138.03823852539062
Adagrad,0.05,80.0,0.01,64.0,290.0,99.3294906616211
Adagrad,0.05,70.0,0.0001,64.0,290.0,195.36798095703125
Adagrad,0.05,70.0,0.001,64.0,290.0,141.15797424316406
Adagrad,0.05,70.0,0.01,64.0,290.0,101.67272186279295
Adagrad,0.05,60.0,0.0001,64.0,290.0,346.40411376953125
Adagrad,0.05,60.0,0.001,64.0,290.0,143.01097106933594
Adagrad,0.05,60.0,0.01,64.0,290.0,98.59539794921876
Adagrad,0.05,50.0,0.0001,64.0,290.0,190.53628540039065
Adagrad,0.05,50.0,0.001,64.0,290.0,146.8345947265625
Adagrad,0.05,50.0,0.01,64.0,290.0,103.25362396240234
Adagrad,0.05,40.0,0.0001,64.0,290.0,171.86776733398438
Adagrad,0.05,40.0,0.001,64.0,290.0,145.9012908935547
Adagrad,0.05,40.0,0.01,64.0,290.0,109.92156219482422
Adagrad,0.05,30.0,0.0001,64.0,290.0,204.71389770507807
Adagrad,0.05,30.0,0.001,64.0,290.0,141.62930297851562
Adagrad,0.05,30.0,0.01,64.0,290.0,100.68439483642578
Adagrad,0.05,20.0,0.0001,64.0,290.0,485.865234375
Adagrad,0.05,20.0,0.001,64.0,290.0,139.4713134765625
Adagrad,0.05,20.0,0.01,64.0,290.0,100.78126525878906
Adagrad,0.05,10.0,0.0001,64.0,290.0,686.0730590820312
Adagrad,0.05,10.0,0.001,64.0,290.0,149.38609313964844
Adagrad,0.05,10.0,0.01,64.0,290.0,112.4907684326172
Adagrad,0.05,190.0,0.0001,32.0,290.0,145.7989959716797
Adagrad,0.05,190.0,0.001,32.0,290.0,133.98509216308594
Adagrad,0.05,190.0,0.01,32.0,290.0,83.73603057861328
Adagrad,0.05,180.0,0.0001,32.0,290.0,147.9171600341797
Adagrad,0.05,180.0,0.001,32.0,290.0,133.88009643554688
Adagrad,0.05,180.0,0.01,32.0,290.0,84.1207275390625
Adagrad,0.05,170.0,0.0001,32.0,290.0,150.12313842773438
Adagrad,0.05,170.0,0.001,32.0,290.0,135.45248413085938
Adagrad,0.05,170.0,0.01,32.0,290.0,83.54529571533203
Adagrad,0.05,160.0,0.0001,32.0,290.0,147.8875274658203
Adagrad,0.05,160.0,0.001,32.0,290.0,139.09376525878906
Adagrad,0.05,160.0,0.01,32.0,290.0,86.7215805053711
Adagrad,0.05,150.0,0.0001,32.0,290.0,147.00885009765625
Adagrad,0.05,150.0,0.001,32.0,290.0,138.3375701904297
Adagrad,0.05,150.0,0.01,32.0,290.0,84.03724670410156
Adagrad,0.05,140.0,0.0001,32.0,290.0,141.1365966796875
Adagrad,0.05,140.0,0.001,32.0,290.0,133.33102416992188
Adagrad,0.05,140.0,0.01,32.0,290.0,81.10105895996094
Adagrad,0.05,130.0,0.0001,32.0,290.0,144.25955200195312
Adagrad,0.05,130.0,0.001,32.0,290.0,140.94049072265625
Adagrad,0.05,130.0,0.01,32.0,290.0,81.60662078857422
Adagrad,0.05,120.0,0.0001,32.0,290.0,144.70977783203125
Adagrad,0.05,120.0,0.001,32.0,290.0,134.79373168945312
Adagrad,0.05,120.0,0.01,32.0,290.0,80.52494812011719
Adagrad,0.05,110.0,0.0001,32.0,290.0,151.9141082763672
